Ngày,Cá nhân trong nước,,,,,,Cá nhân nước ngoài,,,,,,Tổ chức trong nước,,,,,,Tổ chức nước ngoài,,,,,,Cá nhân trong nước (khớp lệnh + thỏa thuận),,,,,,,,Cá nhân nước ngoài (khớp lệnh + thỏa thuận),,,,,,,,Tổ chức trong nước (khớp lệnh + thỏa thuận),,,,,,,,Tổ chức nước ngoài (khớp lệnh + thỏa thuận),,,,,,,,Cá nhân trong nước (Ròng),,,,Cá nhân nước ngoài (Ròng),,,,Tổ chức trong nước (Ròng),,,,Tổ chức nước ngoài (Ròng),,,
,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND)
12-02-2025,407884767,9414707453.3,398171232,9060491066.286,9713535,354216387.014,1933134,51072116.46,1601988,33847427.21,331146,17224689.25,32654753,921001332.279,27830629,866715026.4,4824124,54286305.879,26287040,893989456.6,41155845,1319716838.739,-14868805,-425727382.139,369282652,8468720089.95,359625340,8109727832.383,38602115,945987363.35,38545892,950763233.9,1913134,50252116.46,1601988,33847427.21,20000,820000,0,0,29735753,815622942.279,25120411,759008313.2,2919000,105378390,2710218,107706713.2,23242340,787141644.2,37826140,1219153220.089,3044700,106847812.4,3329705,100563618.65,9657312,358992257.567,56223,-4775870.55,311146,16404689.25,20000,820000,4615342,56614629.079,208782,-2328323.2,-14583800,-432011575.889,-285005,6284193.75
11-02-2025,501641588,11730743431.612,495876595,11279917408.762,5764993,450826022.85,1280187,32410157.06,1352363,39390109.54,-72176,-6979952.48,34016457,975800644.199,27550819,846610601.57,6465638,129190042.629,45273179,1447108579.2,57431634,2020144692.198,-12158455,-573036112.998,456346521,10653058064.883,446446037,10020326660.862,45295067,1077685366.729,49430558,1259590747.9,1280187,32410157.06,1352363,39390109.54,0,0,0,0,29127757,770614824.199,27027625,829885745.74,4888700,205185820,523194,16724855.83,38504979,1251124482.8,50433419,1817605012.798,6768200,195984096.4,6998215,202539679.4,9900484,632731404.021,-4135491,-181905381.171,-72176,-6979952.48,0,0,2100132,-59270921.541,4365506,188460964.17,-11928440,-566480529.998,-230015,-6555583
10-02-2025,631029448,15775350916.295,600394024,14886756202.789,30635424,888594713.506,2305872,76304224.7,2429105,79779312.4,-123233,-3475087.7,42127391,1337280386.318,62859110,1783430240.728,-20731719,-446149854.41,49601501,1640325909.9,59381973,2079295681.299,-9780472,-438969771.399,571393188,14439547481.232,543203235,13612192112.735,59636260,1335803435.058,57190789,1274564090.048,2305872,76304224.7,2429105,79779312.4,0,0,0,0,42127391,1337280386.318,53562939,1636073573.718,0,0,9296171,147356667.01,36397401,1369383890.6,53028573,1894470983.999,13204100,270942019.3,6353400,184824697.3,28189953,827355368.497,2445471,61239345.01,-123233,-3475087.7,0,0,-11435548,-298793187.4,-9296171,-147356667.01,-16631172,-525087093.399,6850700,86117322
07-02-2025,474728805,11726102234.363,461902873,10616594134.251,12825932,1109508100.112,1201426,31563127.45,1216895,36782748.45,-15469,-5219621.0,42851620,1229606578.558,49525392,1228043398.5,-6673772,1563180.058,54296467,1677617671.1,60433158,2783469330.268,-6136691,-1105851659.168,425323949,9969531507.013,426626683,9829232929.801,49404856,1756570727.349,35276190,787361204.45,1012538,26699261.45,1028007,31918882.45,188888,4863866.0,188888,4863866.0,42298620,1206296778.558,31893626,970042697.4,553000,23309800.0,17631766,258000701.1,34707867,1318462577.1,43794658,1689795614.468,19588600,359155094.0,16638500,1093673715.8,-1302734,140298577.212,14128666,969209522.899,-15469,-5219621.0,0,0.0,10404994,236254081.158,-17078766,-234690901.1,-9086791,-371333037.368,2950100,-734518621.8
06-02-2025,429163277,10208388978.722,423705144,9856040133.015,5458133,352348845.707,1205446,37157553.45,2590776,97482202.48,-1385330,-60324649.03,52347111,1459043511.557,48279595,1465591700.39,4067516,-6548188.833,38636412,1187164655.899,46776731,1472640663.738,-8140319,-285476007.839,409179861,9539946164.95,404721749,9261937191.025,19983416,668442813.769,18983395,594102941.99,1205446,37157553.45,2590776,97482202.48,0,0.0,0,0.0,45927111,1288352211.557,41511174,1228172838.61,6420000,170691300.0,6768421,237418861.78,33449712,1048186165.899,40938431,1326049863.738,5186700,138978490.0,5838300,146590800.0,4458112,278008973.925,1000021,74339871.779,-1385330,-60324649.03,0,0.0,4415937,60179372.947,-348421,-66727561.78,-7488719,-277863697.839,-651600,-7612310.0
05-02-2025,426389643,9804165304.586,441592113,10025899525.667,-15202470,-221734221.081,2027366,51981177.15,1462879,40835466.93,564487,11145710.22,69250528,1749610082.66,41105305,1162727267.45,28145223,586882815.21,46483306,1713908156.599,59990546,2090202460.949,-13507240,-376294304.35,399724388,9090519464.177,409320395,9207284396.588,26665255,713645840.407,32271718,818615129.079,2027366,51981177.15,1462879,40835466.93,0,0.0,0,0.0,45220028,1146570812.66,23513668,665645808.52,24030500,603039270.0,17591637,497081458.93,43502106,1604115547.9,56176946,1979421329.848,2981200,109792608.7,3813600,110781131.1,-9596007,-116764932.411,-5606463,-104969288.672,564487,11145710.22,0,0.0,21706360,480925004.14,6438863,105957811.07,-12674840,-375305781.948,-832400,-988522.4
04-02-2025,512458933,12272414545.485,481695555,10880199332.068,30763378,1392215213.417,1280514,38812675.95,2068244,45070797.2,-787730,-6258121.25,60295832,1597867615.338,72560142,2035166573.727,-12264310,-437298958.389,43561625,1383042719.8,61272963,2331700853.577,-17711338,-948658133.777,470095324,10970321545.135,443556748,9738331205.765,42363609,1302093000.349,38138807,1141868126.3,1280514,38812675.95,1638244,39953797.2,0,0.0,430000,5117000.0,31166132,838254685.338,49260640,1437314874.677,29129700,759612930.0,23299502,597851699.05,39241725,1169952924.0,47328063,1801741952.776,4319900,213089795.8,13944900,529958900.8,26538576,1231990339.37,4224802,160224874.049,-357730,-1141121.25,-430000,-5117000.0,-18094508,-599060189.339,5830198,161761230.95,-8086338,-631789028.776,-9625000,-316869105.0
03-02-2025,423252899,11082207948.712,364115638,9038250456.724,59137261,2043957491.988,919281,26900302.05,2376561,59689603.95,-1457280,-32789301.9,31301944,1140924512.03,57719746,1723550177.878,-26417802,-582625665.848,48585274,1692534804.7,79847453,3121077328.928,-31262179,-1428542524.228,401822985,10555173782.91,349000936,8646839531.123,21429914,527034165.799,15114702,391410925.6,919281,26900302.05,2376561,59689603.95,0,0.0,0,0.0,27187944,993698312.03,47390539,1441380816.428,4114000,147226200.0,10329207,282169361.45,32661574,1206636594.2,63823748,2634499039.679,15923700,485898210.499,16023705,486578289.249,52822049,1908334251.787,6315212,135623240.199,-1457280,-32789301.9,0,0.0,-20202595,-447682504.398,-6215207,-134943161.45,-31162174,-1427862445.479,-100005,-680078.75
24-01-2025,353655400,7866738437.622,408616523,9288348037.132,-54961123,-1421609599.51,711529,23233073.15,841815,23597008.88,-130286,-363935.73,71369766,2049657969.258,42354111,1261950361.68,29015655,787707607.578,71526787,2243768059.5,45451033,1609502131.84,26075754,634265927.66,337675535,7424777692.48,387032726,8738164103.891,15979865,441960745.139,21583797,550183933.239,711529,23233073.15,841815,23597008.88,0,0.0,0,0.0,63315766,1894028169.258,38869063,1170219805.78,8054000,155629800.0,3485048,91730555.9,54954337,1736397435.7,29913563,1146455452.04,16572450,507370623.8,15537470,463046679.8,-49357191,-1313386411.411,-5603932,-108223188.1,-130286,-363935.73,0,0.0,24446703,723808363.478,4568952,63899244.1,25040774,589941983.66,1034980,44323944.0
23-01-2025,369631089,9353477423.028,407922881,10379462801.929,-38291792,-1025985378.901,2772624,68589952.1,1690253,46001737.7,1082371,22588214.4,70982167,2219015001.598,43966790,1339554942.62,27015377,879460058.978,52014423,1570702814.35,41820379,1446765708.829,10194044,123937105.521,329782332,8258246476.376,371600200,9387063939.227,39848757,1095230946.65,36322681,992398862.7,2752624,67619952.1,1690253,46001737.7,20000,970000.0,0,0.0,69408967,2146278011.598,39357514,1191924458.67,1573200,72736990.0,4609276,147630483.95,46606423,1420355334.85,35902379,1267509639.329,5408000,150347479.5,5918000,179256069.5,-41817868,-1128817462.851,3526076,102832083.95,1062371,21618214.4,20000,970000.0,30051453,954353552.928,-3036076,-74893493.95,10704044,152845695.521,-510000,-28908590.0
22-01-2025,413354547,9916434708.577,423597187,10120990501.942,-10242640,-204555793.365,1281132,29038086.73,519157,17287068.97,761975,11751017.76,45051500,1196333698.0,25278641,742412480.67,19772859,453921217.33,23094161,876360156.25,33386355,1137476597.969,-10292194,-261116441.719,310834916,7329731713.425,322550646,7573222163.443,102519631,2586702995.15,101046541,2547768338.5,1281132,29038086.73,519157,17287068.97,0,0.0,0,0.0,41201500,1125993698.0,20805551,675877824.02,3850000,70340000.0,4473090,66534656.65,20865761,826112915.35,30307955,1044489357.069,2228400,50247240.9,3078400,92987240.9,-11715730,-243490450.018,1473090,38934656.65,761975,11751017.76,0,0.0,20395949,450115873.98,-623090,3805343.35,-9442194,-218376441.719,-850000,-42740000.0
21-01-2025,384448146,8816098484.73,385139273,8887312511.461,-691127,-71214026.731,1014942,21328039.14,1394606,40792188.17,-379664,-19464149.03,37913680,1176088451.35,35109202,941422087.98,2804478,234666363.37,46750603,1461812646.369,48484290,1605800833.979,-1733687,-143988187.61,290365152,6545036663.826,299196452,6738629699.061,94082994,2271061820.898,85942821,2148682812.398,1014942,21328039.14,1334606,38452188.17,0,0.0,60000,2340000.0,30258680,960894951.35,19394029,609961579.48,7655000,215193500.0,15715173,331460508.5,32084135,977653001.969,33797822,1117869189.578,14666468,484159644.4,14686468,487931644.4,-8831300,-193593035.235,8140173,122379008.5,-319664,-17124149.03,-60000,-2340000.0,10864651,350933371.87,-8060173,-116267008.5,-1713687,-140216187.609,-20000,-3772000.0
20-01-2025,357057879,8366294704.074,361322653,8086805212.315,-4264774,279489491.759,836368,19371015.85,1145554,27564469.42,-309186,-8193453.57,30464565,818944509.43,21507805,850589284.78,8956760,-31644775.35,27130766,781707946.579,31513566,1021359209.417,-4382800,-239651262.838,279205851,6256704340.623,288554357,6452651498.861,77852028,2109590363.45,72768296,1634153713.45,836368,19371015.85,1031554,24786631.42,0,0.0,114000,2777838.0,25513565,755591409.43,11871773,336774694.78,4951000,63353100.0,9636032,513814590.0,25650966,746173055.379,29749066,963626996.217,1479800,35534891.2,1764500,57732213.2,-9348506,-195947158.238,5083732,475436650.0,-195186,-5415615.57,-114000,-2777838.0,13641792,418816714.65,-4685032,-450461490.0,-4098100,-217453940.838,-284700,-22197322.0
17-01-2025,295760739,6977973295.396,308540942,7283167263.316,-12780203,-305193967.92,412868,16886298.05,775252,21748400.75,-362384,-4862102.7,54547381,1566213488.517,34238505,786274035.279,20308876,779939453.238,56638596,1707821401.198,63804885,2177704783.82,-7166289,-469883382.622,266681935,6204093505.215,277058542,6348924569.715,29078804,773879790.178,31482400,934242693.6,412868,16886298.05,775252,21748400.75,0,0.0,0,0.0,37409381,1154701388.517,19604101,549948538.699,17138000,411512100.0,14634404,236325496.58,26777678,821044686.249,33843967,1276104368.87,29860918,886776714.95,29960918,901600414.95,-10376607,-144831064.5,-2403596,-160362903.422,-362384,-4862102.7,0,0.0,17805280,604752849.818,2503596,175186603.42,-7066289,-455059682.621,-100000,-14823700.0
16-01-2025,402624718,11087922739.625,299052483,7462938230.885,103572235,3624984508.74,828011,21211036.0,744637,16771936.65,83374,4439099.35,40561645,1222290772.5,60369184,1741077565.217,-19807539,-518786792.717,27045616,974357387.448,110893686,4084994202.819,-83848070,-3110636815.371,311963213,7473308702.075,265102988,5986712811.232,90661505,3614614037.549,33949495,1476225419.65,828011,21211036.0,744637,16771936.65,0,0.0,0,0.0,39879645,1201195172.5,53835127,1638878446.167,682000,21095600.0,6534057,102199119.05,20319816,733140173.448,53307933,1786491889.969,6725800,241217214.0,57585753,2298502312.85,46860225,1486595890.843,56712010,2138388617.899,83374,4439099.35,0,0.0,-13955482,-437683273.667,-5852057,-81103519.05,-32988117,-1053351716.521,-50859953,-2057285098.85
15-01-2025,355617877,8305315650.989,354862473,7840009306.212,755404,465306344.777,768269,35578925.45,853425,24497822.25,-85156,11081103.2,46501303,1141812470.64,42521655,1202249500.64,3979648,-60437030.0,31099556,892932492.62,35749452,1308882910.597,-4649896,-415950417.977,308734191,6943326556.721,299838932,6388433835.553,46883686,1361989094.27,55023541,1451575470.66,768269,35578925.45,853425,24497822.25,0,0.0,0,0.0,28899233,864974784.91,33059510,1014999727.03,17602070,276837685.73,9462145,187249773.61,21501456,592785031.02,26151282,1008733913.268,9598100,300147461.6,9598170,300148997.329,8895259,554892721.168,-8139855,-89586376.39,-85156,11081103.2,0,0.0,-4160277,-150024942.12,8139925,89587912.12,-4649826,-415948882.248,-70,-1535.729
14-01-2025,290702209,6719279564.645,267290962,6081200159.874,23411247,638079404.771,813156,20200138.2,382521,14492673.15,430635,5707465.05,38451670,1102717228.45,43336385,1111010868.478,-4884715,-8293640.028,19879334,677106713.998,38836501,1312599943.789,-18957167,-635493229.791,248994482,5625873078.626,226647980,4992482362.373,41707727,1093406486.019,40642982,1088717797.5,813156,20200138.2,382521,14492673.15,0,0.0,0,0.0,33400660,974914176.45,36959640,973299278.958,5051010,127803052.0,6376745,137711589.52,14339634,501869216.898,33557791,1142582295.689,5539700,175237497.1,5278710,170017648.1,22346502,633390716.253,1064745,4688688.519,430635,5707465.05,0,0.0,-3558980,1614897.492,-1325735,-9908537.52,-19218157,-640713078.791,260990,5219849.0
13-01-2025,369396611,8418448189.602,407852571,9497600652.281,-38455960,-1079152462.679,657956,17143310.95,2681940,66937828.7,-2023984,-49794517.75,71945663,2311095521.87,38584025,1160889875.758,33361638,1150205646.112,42265982,1354180241.699,35147676,1375438907.379,7118306,-21258665.68,317980440,6931428915.987,335461674,7358794231.598,51416171,1487019273.609,72390897,2138806420.68,657956,17143310.95,2681940,66937828.7,0,0.0,0,0.0,42999863,1357724497.87,30699766,859886052.328,28945800,953371024.0,7884259,301003823.43,36955282,962591918.299,29750161,983270530.479,5310700,391588323.4,5397515,392168376.9,-17481234,-427365315.611,-20974726,-651787147.071,-2023984,-49794517.75,0,0.0,12300097,497838445.542,21061541,652367200.57,7205121,-20678612.18,-86815,-580053.5
10-01-2025,399774474,8926580078.208,391319647,8869803358.051,8454827,56776720.157,1064449,27284282.08,377908,9437666.849,686541,17846615.231,43370692,1372883388.78,43564039,1206385912.24,-193347,166497476.54,24463993,890030447.069,33412014,1131151259.0,-8948021,-241120811.931,386230550,8619515059.169,370961081,8302486617.701,13543924,307065019.039,20358566,567316740.35,1064449,27284282.08,377908,9437666.849,0,0.0,0,0.0,34105892,967099828.78,41113881,1060854073.55,9264800,405783560.0,2450158,145531838.69,22217193,804972003.069,31165214,1046092815.0,2246800,85058444.0,2246800,85058444.0,15269469,317028441.468,-6814642,-260251721.311,686541,17846615.231,0,0.0,-7007989,-93754244.77,6814642,260251721.31,-8948021,-241120811.931,0,0.0
